DATETIME,battery_power,battery_energy,lmp,cumulative_cost
2018-07-08 00:00:00,-4.999999980241995,6.999999999999844,0.07976496999999999,-0.3988248484240033
2018-07-08 01:00:00,4.999999995883572,11.999999980241682,0.10621163999999997,0.13223335113878393
2018-07-08 02:00:00,4.999999997460212,6.999999984357955,0.11979839999999999,0.7312253508345212
2018-07-08 03:00:00,0.5999999849588642,1.9999999868975862,0.08432498000000001,0.7818203375661777
2018-07-08 04:00:00,-1.8153295533451796e-09,1.4000000019385659,0.06108749,0.7818203374552838
2018-07-08 05:00:00,-2.86823720330176e-09,1.4000000037537825,0.04908684,0.7818203373144911
2018-07-08 06:00:00,-3.403072723617839e-08,1.4000000066219291,0.04228396,0.7818203358755371
2018-07-08 07:00:00,2.7764349264103316e-08,1.400000040652578,0.04117582,0.781820337018757
2018-07-08 08:00:00,-4.605147596592474e-09,1.4000000128881531,0.03768048,0.7818203368452328
2018-07-08 09:00:00,-2.5261790215225233e-08,1.400000017493231,0.03510528,0.7818203359584106
2018-07-08 10:00:00,-2.1150185780527408e-07,1.4000000427549568,0.034051629999999986,0.7818203287564276
2018-07-08 11:00:00,-1.9055110989096846e-06,1.4000002542567518,0.03387445,0.7818202642082871
2018-07-08 12:00:00,2.13950868410695e-06,1.4000021597677879,0.03385359,0.7818203366383369
2018-07-08 13:00:00,-1.2000000322104298,1.4000000202590415,0.03162996,0.7438643836195223
2018-07-08 14:00:00,-4.999999971563617,2.600000052469413,0.02846159,0.6015564344288671
2018-07-08 15:00:00,-4.999999973443023,7.600000024032972,0.02823737,0.46036958517876625
2018-07-08 16:00:00,4.999999988077273,12.599999997475935,0.05703388,0.7455389844987669
2018-07-08 17:00:00,-4.409005782690656e-08,7.600000009398571,0.049477200000000006,0.7455389823173143
2018-07-08 18:00:00,-4.9999999434495965,7.600000053488538,0.04788398,0.5061190850251727
2018-07-08 19:00:00,3.984515828392432e-09,12.599999996938042,0.06418926,0.5061190852809357
2018-07-08 20:00:00,2.9011419044877584e-08,12.599999992953409,0.07058216999999999,0.5061190873286247
2018-07-08 21:00:00,4.999999989255312,12.599999963941858,0.08021671,0.9072026364667212
2018-07-08 22:00:00,-4.999999987252484,7.599999974686434,0.06476377,0.5833837872922983
2018-07-08 23:00:00,-2.1867425648025574e-08,12.599999961938803,0.07301509,0.5833837856956463
2018-07-09 00:00:00,2.5836754957708763e-10,12.599999983806093,0.07579691,0.5833837857152298
2018-07-09 01:00:00,4.999999930600918,12.599999983547587,0.07983327,0.982550130174874
2018-07-09 02:00:00,4.999999996942928,7.600000052946522,0.10800596,1.522579929844692
2018-07-09 03:00:00,1.2000000534398936,2.600000056003448,0.07853501999999997,1.616821958041595
2018-07-09 04:00:00,-4.999999968963725,1.4000000025634094,0.05805836,1.3265301598435102
2018-07-09 05:00:00,-4.999999992527885,6.399999971527083,0.04890392,1.0820105602089258
2018-07-09 06:00:00,4.999999999360055,11.399999964054915,0.20184696,2.091245360079755
2018-07-09 07:00:00,4.999999962878015,6.399999964694807,0.06338837,2.408187207726653
2018-07-09 08:00:00,-1.2000000597269893,1.4000000018167398,0.0361664,2.364787525566543
2018-07-09 09:00:00,-4.999999962803138,2.6000000615436623,0.03374423,2.1960663768217223
2018-07-09 10:00:00,-4.999999972926624,7.600000024346732,0.03283852,2.031873777710772
2018-07-09 11:00:00,1.1999999931622982,12.599999997273288,0.05268727,2.095098501350512
2018-07-09 12:00:00,4.999999997340086,11.400000004110893,0.08655861000000001,2.5278915511202733
2018-07-09 13:00:00,4.9999999991210045,6.4000000067707115,0.15520828,3.303932950983846
2018-07-09 14:00:00,-4.999999989933842,1.4000000076496084,0.03784792,3.114693351364829
2018-07-09 15:00:00,-4.999999974054456,6.3999999975833655,0.04332577,2.89806450248894
2018-07-09 16:00:00,4.999999992715439,11.399999971637733,0.05916633,3.193896152057939
2018-07-09 17:00:00,-4.999999964569716,6.399999978922208,0.04425537,2.9726193036259194
2018-07-09 18:00:00,-1.200000053164025,11.399999943491837,0.04679831,2.916461329137933
2018-07-09 19:00:00,4.262769319751669e-06,12.599999996655777,0.06026863,2.9164615860492
2018-07-09 20:00:00,-4.2429018098921745e-06,12.599995733886345,0.06027919,2.9164613302905154
2018-07-09 21:00:00,-1.844639951897875e-08,12.599999976788043,0.06221994,2.9164613291427814
2018-07-09 22:00:00,8.214305680098732e-09,12.599999995234327,0.07167253999999999,2.9164613297315216
2018-07-09 23:00:00,4.999999986039574,12.599999987019888,0.08159708,3.3244467285923918
2018-07-10 00:00:00,-4.999999975995195,7.600000000980579,0.07138984999999999,2.967497480306091
2018-07-10 01:00:00,1.2000000522373306,12.599999976976038,0.07709964000000001,3.0600170523335706
2018-07-10 02:00:00,4.999999996918537,11.399999924738564,0.10633729,3.5917035020058963
2018-07-10 03:00:00,4.99999992544634,6.399999927819884,0.07830813,3.9832441461677384
2018-07-10 04:00:00,-2.532496989893218e-09,1.4000000023734012,0.05811949,3.9832441460205508
2018-07-10 05:00:00,-7.213305508457779e-10,1.4000000049057906,0.04893687,3.983244145985251
2018-07-10 06:00:00,-2.347200611652056e-08,1.4000000056270312,0.04093121,3.9832441450245133
2018-07-10 07:00:00,2.078206839950525e-08,1.4000000290989614,0.03938309,3.9832441458429755
2018-07-10 08:00:00,-3.514018553918419e-08,1.4000000083168203,0.03396656,3.9832441446493845
2018-07-10 09:00:00,-1.200002508376274,1.400000043456943,0.03292993,3.9437281460487292
2018-07-10 10:00:00,-4.999999749478079,2.600002551833156,0.03257029,3.7808767042083007
