DATETIME,LMP_kWh,E,Charge,DATETIME,Cumulative Additive Revenue
2018-07-08 00:00:00,0.07976496999999999,3.4640378856439926,3.693016546615107e-14,2018-07-08 00:00:00,0.0
2018-07-08 01:00:00,0.10621163999999998,3.4640378856441787,4.135962116469302,2018-07-08 01:00:00,0.43928731936807547
2018-07-08 02:00:00,0.1197984,7.60000000211363,4.999999994426086,2018-07-08 02:00:00,1.0382793187003294
2018-07-08 03:00:00,0.08432498000000001,12.599999996539866,2.0102738522049912e-10,2018-07-08 03:00:00,1.038279318717281
2018-07-08 04:00:00,0.06108749,12.599999996741012,-3.0517185523199726e-09,2018-07-08 04:00:00,1.0382793185308592
2018-07-08 05:00:00,0.04908684,12.599999993689378,-4.821801519730637e-09,2018-07-08 05:00:00,1.0382793182941723
2018-07-08 06:00:00,0.04228396,12.599999988867646,-5.720989224397785e-08,2018-07-08 06:00:00,1.0382793158751116
2018-07-08 07:00:00,0.04117582,12.599999931657814,4.667544388844162e-08,2018-07-08 07:00:00,1.0382793177970113
2018-07-08 08:00:00,0.037680479999999995,12.599999978333315,-7.741777698235777e-09,2018-07-08 08:00:00,1.0382793175052973
2018-07-08 09:00:00,0.03510528,12.59999997059159,-4.2468179788970143e-08,2018-07-08 09:00:00,1.03827931601444
2018-07-08 10:00:00,0.03405162999999999,12.59999992812346,-3.55557786753914e-07,2018-07-08 10:00:00,1.0382793039071176
2018-07-08 11:00:00,0.03387445,12.599999572565721,-3.203096904582475e-06,2018-07-08 11:00:00,1.0382791954039716
2018-07-08 12:00:00,0.03385359,12.599996369468863,3.596473003615827e-06,2018-07-08 12:00:00,1.0382793171574942
2018-07-08 13:00:00,0.03162996,12.599999965941915,-1.2000000079243136,2018-07-08 13:00:00,1.0003233649068486
2018-07-08 14:00:00,0.028461590000000002,11.399999958017647,-4.999999976097341,2018-07-08 14:00:00,0.8580154155871562
2018-07-08 15:00:00,0.02823737,6.3999999819203515,-4.999999977677101,2018-07-08 15:00:00,0.7168285662174961
2018-07-08 16:00:00,0.05703388,1.4000000042432947,4.99999998997814,2018-07-08 16:00:00,1.0019979656459106
2018-07-08 17:00:00,0.049477200000000006,6.399999994221504,-3.6608409367660667e-08,2018-07-08 17:00:00,1.001997963834629
2018-07-08 18:00:00,0.04788398,6.399999957613164,-4.999999952465665,2018-07-08 18:00:00,0.7625780661107622
2018-07-08 19:00:00,0.06418926,1.4000000051475685,6.698608112209808e-09,2018-07-08 19:00:00,0.7625780665407409
2018-07-08 20:00:00,0.07058216999999999,1.4000000118462668,4.955959118083017e-08,2018-07-08 20:00:00,0.7625780700387644
2018-07-08 21:00:00,0.08021671,1.4000000614059571,4.999999990985592,2018-07-08 21:00:00,1.1636616193156581
2018-07-08 22:00:00,0.06476377,6.400000052391625,-4.999999989260497,2018-07-08 22:00:00,0.8398427700111888
2018-07-08 23:00:00,0.07301509,1.4000000631312037,-3.590721701535658e-08,2018-07-08 23:00:00,0.8398427673894201
2018-07-09 00:00:00,0.07579691,1.4000000272240896,4.344881755956025e-10,2018-07-09 00:00:00,0.839842767422353
2018-07-09 01:00:00,0.07983327,1.4000000276586844,4.999999941665554,2018-07-09 01:00:00,1.2390091127653233
2018-07-09 02:00:00,0.10800596000000001,6.39999996932435,4.999999997430336,2018-07-09 02:00:00,1.7790389124877843
2018-07-09 03:00:00,0.07853501999999998,11.399999966754796,1.2000000289430002,2018-07-09 03:00:00,1.8732809387608234
2018-07-09 04:00:00,0.05805836,12.599999995697907,-4.999999973662803,2018-07-09 04:00:00,1.5829891402899179
2018-07-09 05:00:00,0.04890392,7.600000022035732,-4.999999993704232,2018-07-09 05:00:00,1.3384695405978055
2018-07-09 06:00:00,0.20184696,2.600000028332125,4.999999999463023,2018-07-09 06:00:00,2.3477043404894182
2018-07-09 07:00:00,0.06338837,7.600000027795775,4.9999999691454,2018-07-09 07:00:00,2.6646461885335953
2018-07-09 08:00:00,0.0361664,12.5999999969418,-1.2000000463813563,2018-07-09 08:00:00,2.6212465068561484
2018-07-09 09:00:00,0.03374423,11.399999950560495,-4.999999968733591,2018-07-09 09:00:00,2.452525357911209
2018-07-09 10:00:00,0.03283852,6.399999981826954,-4.999999977243035,2018-07-09 10:00:00,2.2883327586585143
2018-07-09 11:00:00,0.05268727,1.4000000045839716,1.1999999855303296,2018-07-09 11:00:00,2.3515574818961467
2018-07-09 12:00:00,0.08655861000000001,2.599999990114375,4.999999997764179,2018-07-09 12:00:00,2.784350531702617
2018-07-09 13:00:00,0.15520828,7.599999987878629,4.9999999992612745,2018-07-09 13:00:00,3.5603919315879606
2018-07-09 14:00:00,0.03784792,12.599999987139979,-4.99999999153871,2018-07-09 14:00:00,3.371152331908203
2018-07-09 15:00:00,0.04332577,7.599999995601333,-4.999999978191053,2018-07-09 15:00:00,3.1545234828530924
2018-07-09 16:00:00,0.05916633,2.6000000174103457,4.999999993876827,2018-07-09 16:00:00,3.450355132490807
2018-07-09 17:00:00,0.04425537,7.6000000112872375,-4.999999970218509,2018-07-09 17:00:00,3.2290782838087977
2018-07-09 18:00:00,0.04679831,2.6000000410687947,-1.200000035446764,2018-07-09 18:00:00,3.1729203101499492
2018-07-09 19:00:00,0.060268630000000004,1.4000000056220965,7.166107532995665e-06,2018-07-09 19:00:00,3.1729207420414327
2018-07-09 20:00:00,0.060279189999999996,1.4000071717297142,-7.132707455380592e-06,2018-07-09 20:00:00,3.1729203120876046
2018-07-09 21:00:00,0.06221994,1.4000000390223437,-3.101068748592142e-08,2018-07-09 21:00:00,3.1729203101581214
