,action_inds,rewards,actions,cumulative_revenue
29243,2,-0.005073930674999997,wait,436.1462364191099
29244,3,-0.11654662075,TOU_buy,436.0296897983599
29245,2,-0.005969138437499997,wait,436.02372065992245
29246,0,0.03129542381250001,LMP_buy,436.0550160837349
29247,4,0.11134375,TOU_discharge,436.16635983373493
29248,4,0.11134375,TOU_discharge,436.27770358373493
29249,0,0.02516528231250001,LMP_buy,436.30286886604745
29250,4,0.11134375,TOU_discharge,436.41421261604745
29251,3,-0.1173128884375,TOU_buy,436.29689972760997
29252,0,0.03129542381250001,LMP_buy,436.32819515142245
29253,4,0.11134375,TOU_discharge,436.43953890142245
29254,3,-0.118079156125,TOU_buy,436.32145974529743
29255,4,0.11134375,TOU_discharge,436.43280349529743
29256,0,0.03129542381250001,LMP_buy,436.4640989191099
29257,4,0.11134375,TOU_discharge,436.5754426691099
29258,0,0.03129542381250001,LMP_buy,436.6067380929224
29259,4,0.11134375,TOU_discharge,436.7180818429224
29260,2,-0.012865547624999996,wait,436.7052162952974
29261,3,-0.118079156125,TOU_buy,436.5871371391724
29262,4,0.11134375,TOU_discharge,436.6984808891724
29263,2,-0.0075016738124999965,wait,436.6909792153599
29264,4,0.108584375,TOU_discharge,436.7995635903599
29265,2,-0.005073930674999997,wait,436.7944896596849
29266,0,0.02992980855000001,LMP_buy,436.8244194682349
29267,0,0.02918253088125001,LMP_buy,436.85360199911617
29268,0,0.02843525321250001,LMP_buy,436.88203725232864
29269,4,0.108584375,TOU_discharge,436.99062162732866
29270,4,0.108584375,TOU_discharge,437.0992060023287
29271,0,0.025446142537500008,LMP_buy,437.12465214486616
29272,4,0.108584375,TOU_discharge,437.2332365198662
29273,3,-0.11814197168749999,TOU_buy,437.11509454817866
29274,0,0.02619342020625001,LMP_buy,437.1412879683849
29275,2,-0.014041262699999996,wait,437.1272467056849
29276,1,-0.045784404562500006,LMP_sell,437.08146230112243
29277,1,-0.045784404562500006,LMP_sell,437.03567789655995
29278,2,-0.011464262999999997,wait,437.02421363355995
29279,4,0.10550000000000001,TOU_discharge,437.12971363355996
29280,0,0.02866428656250001,LMP_buy,437.15837792012246
