local_15min,load_power,grid_power,battery_power,battery_energy,tariff_rate,cumulative_cost
2014-07-08 00:00:00,0.759,0.45911722978347325,0.29988277021652615,5.000000000000001,0.06475,0.029727840628479895
2014-07-08 00:15:00,0.7030000000000001,0.46297841367852455,0.24002158632147497,4.92502930744587,0.06475,0.05970569291416436
2014-07-08 00:30:00,0.639,0.46331584519799207,0.1756841548020075,4.865023910865502,0.06475,0.08970539389073434
2014-07-08 00:45:00,0.927,0.4718213537504439,0.4551786462495558,4.821102872165002,0.06475,0.12025582654607558
2014-07-08 01:00:00,0.679,0.4683661106644181,0.21063388933558147,4.707308210602614,0.06475,0.15058253221159665
2014-07-08 01:15:00,0.406,0.45696275815892273,-0.05096275815892323,4.65464973826872,0.06475,0.1801708708023869
2014-07-08 01:30:00,0.412,0.4610757084563675,-0.04907570845636805,4.667390427808451,0.06475,0.21002552292493668
2014-07-08 01:45:00,0.28800000000000003,0.4503016383167559,-0.16230163831675656,4.679659354922544,0.06475,0.23918255400594662
2014-07-08 02:00:00,0.318,0.45992503170076954,-0.14192503170077017,4.720234764501734,0.06475,0.26896269980857146
2014-07-08 02:15:00,0.365,0.4713323715980006,-0.10633237159800119,4.755716022426928,0.06475,0.299481470869542
2014-07-08 02:30:00,0.396,0.4807855230076918,-0.08478552300769235,4.782299115326429,0.06475,0.3306123334842901
2014-07-08 02:45:00,0.342,0.4818041886675692,-0.13980418866756977,4.803495496078353,0.06475,0.3618091547005152
2014-07-08 03:00:00,0.268,0.47768643531351807,-0.20968643531351866,4.838446543245246,0.06475,0.3927393513870655
2014-07-08 03:15:00,0.366,0.5010356601668794,-0.13503566016687998,4.890868152073628,0.06475,0.42518141038287094
2014-07-08 03:30:00,0.326,0.5055122688594711,-0.17951226885947158,4.924627067115348,0.06475,0.4579133297915217
2014-07-08 03:45:00,0.272,0.506982776202348,-0.23498277620234856,4.969505134330217,0.06475,0.49074046455062376
2014-07-08 04:00:00,0.338,0.5295010643274425,-0.1915010643274431,5.028250828380806,0.06475,0.5250256584658256
2014-07-08 04:15:00,0.342,0.5432041465916515,-0.201204146591652,5.076126094462667,0.06475,0.560198126957635
2014-07-08 04:30:00,0.295,0.5511632853156658,-0.25616328531566646,5.126427131110581,0.06475,0.5958859496818244
2014-07-08 04:45:00,0.294,0.5680075947935054,-0.274007594793506,5.190467952439498,0.06475,0.6326644414447039
2014-07-08 05:00:00,0.353,0.5960264165486552,-0.24302641654865567,5.258969851137876,0.06475,0.6712571519162294
2014-07-08 05:15:00,0.3,0.6115231994713827,-0.3115231994713832,5.31972645527504,0.06475,0.7108532790820014
2014-07-08 05:30:00,0.276,0.6343609214627252,-0.3583609214627257,5.397607255142888,0.06475,0.7519281487467128
2014-07-08 05:45:00,0.379,0.6823562381780753,-0.30335623817807583,5.48719748550857,0.06475,0.7961107151687431
2014-07-08 06:00:00,0.363,1.6631640203923628e-10,0.362999999833684,5.56303654505309,0.076155,0.796110715181409
2014-07-08 06:15:00,0.279,1.7117767120334393e-10,0.27899999982882295,5.472286545094669,0.076155,0.796110715194445
2014-07-08 06:30:00,0.295,1.688197223705746e-10,0.2949999998311809,5.4025365451374645,0.076155,0.7961107152073015
2014-07-08 06:45:00,0.344,1.6439616682538586e-10,0.34399999983560425,5.32878654517967,0.076155,0.796110715219821
2014-07-08 07:00:00,0.308,1.658880771034133e-10,0.30799999983411247,5.24278654522077,0.076155,0.7961107152324542
2014-07-08 07:15:00,0.292,1.6621879607919947e-10,0.29199999983378183,5.165786545262242,0.076155,0.7961107152451127
2014-07-08 07:30:00,0.309,1.6404825689145101e-10,0.3089999998359524,5.092786545303798,0.076155,0.7961107152576058
2014-07-08 07:45:00,0.29500000000000004,1.6427627171748664e-10,0.2949999998357244,5.015536545344811,0.076155,0.7961107152701162
2014-07-08 08:00:00,0.259,1.666198972278292e-10,0.258999999833381,4.94178654538588,0.076155,0.7961107152828052
2014-07-08 08:15:00,0.244,1.673793535245649e-10,0.24399999983262163,4.877036545427536,0.076155,0.796110715295552
2014-07-08 08:30:00,0.376,1.5675133323756812e-10,0.3759999998432491,4.816036545469381,0.076155,0.7961107153074894
2014-07-08 08:45:00,0.254,1.6484166932978703e-10,0.2539999998351593,4.72203654550857,0.076155,0.796110715320043
2014-07-08 09:00:00,0.172,1.767642163007919e-10,0.1719999998232373,4.658536545549781,0.076155,0.7961107153335044
2014-07-08 09:15:00,0.229,1.6625737944258334e-10,0.2289999998337438,4.615536545593972,0.076155,0.7961107153461657
2014-07-08 09:30:00,0.264,1.618504025076392e-10,0.2639999998381507,4.558286545635537,0.076155,0.7961107153584914
