INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-08-08T14:00:00-00:00,2018-08-08T15:00:00-00:00,2018-08-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,65.0073,1
2018-08-08T16:00:00-00:00,2018-08-08T17:00:00-00:00,2018-08-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,60.93144,1
2018-08-09T02:00:00-00:00,2018-08-09T03:00:00-00:00,2018-08-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,429.25437,1
2018-08-09T01:00:00-00:00,2018-08-09T02:00:00-00:00,2018-08-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,372.23218,1
2018-08-08T13:00:00-00:00,2018-08-08T14:00:00-00:00,2018-08-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,74.66521,1
2018-08-08T18:00:00-00:00,2018-08-08T19:00:00-00:00,2018-08-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,96.15628,1
2018-08-08T11:00:00-00:00,2018-08-08T12:00:00-00:00,2018-08-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,51.85274,1
2018-08-09T06:00:00-00:00,2018-08-09T07:00:00-00:00,2018-08-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,99.62517,1
2018-08-09T05:00:00-00:00,2018-08-09T06:00:00-00:00,2018-08-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,104.88573,1
2018-08-08T17:00:00-00:00,2018-08-08T18:00:00-00:00,2018-08-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,75.77647,1
2018-08-08T09:00:00-00:00,2018-08-08T10:00:00-00:00,2018-08-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,57.98334,1
2018-08-08T07:00:00-00:00,2018-08-08T08:00:00-00:00,2018-08-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,71.14064,1
2018-08-08T10:00:00-00:00,2018-08-08T11:00:00-00:00,2018-08-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,51.8585,1
2018-08-08T22:00:00-00:00,2018-08-08T23:00:00-00:00,2018-08-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,178.56713,1
2018-08-09T00:00:00-00:00,2018-08-09T01:00:00-00:00,2018-08-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,254.71356,1
2018-08-09T04:00:00-00:00,2018-08-09T05:00:00-00:00,2018-08-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,170.92272,1
2018-08-08T15:00:00-00:00,2018-08-08T16:00:00-00:00,2018-08-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,58.83097,1
2018-08-08T12:00:00-00:00,2018-08-08T13:00:00-00:00,2018-08-08,6,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,61.00202,1
2018-08-08T23:00:00-00:00,2018-08-09T00:00:00-00:00,2018-08-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,212.87224,1
2018-08-08T19:00:00-00:00,2018-08-08T20:00:00-00:00,2018-08-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,158.66677,1
2018-08-08T08:00:00-00:00,2018-08-08T09:00:00-00:00,2018-08-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,60.08839,1
2018-08-08T21:00:00-00:00,2018-08-08T22:00:00-00:00,2018-08-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,215.88284,1
2018-08-08T20:00:00-00:00,2018-08-08T21:00:00-00:00,2018-08-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,202.02185,1
2018-08-09T03:00:00-00:00,2018-08-09T04:00:00-00:00,2018-08-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,261.65852,1
2018-08-09T06:00:00-00:00,2018-08-09T07:00:00-00:00,2018-08-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,15.28672,2
