INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-10-08T20:00:00-00:00,2018-10-08T21:00:00-00:00,2018-10-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.27006,1
2018-10-08T12:00:00-00:00,2018-10-08T13:00:00-00:00,2018-10-08,6,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,33.88518,1
2018-10-08T22:00:00-00:00,2018-10-08T23:00:00-00:00,2018-10-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,24.85618,1
2018-10-08T15:00:00-00:00,2018-10-08T16:00:00-00:00,2018-10-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,27.13797,1
2018-10-09T06:00:00-00:00,2018-10-09T07:00:00-00:00,2018-10-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,34.37498,1
2018-10-09T00:00:00-00:00,2018-10-09T01:00:00-00:00,2018-10-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,47.35224,1
2018-10-08T07:00:00-00:00,2018-10-08T08:00:00-00:00,2018-10-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,31.02025,1
2018-10-08T21:00:00-00:00,2018-10-08T22:00:00-00:00,2018-10-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,22.34274,1
2018-10-08T18:00:00-00:00,2018-10-08T19:00:00-00:00,2018-10-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.04865,1
2018-10-08T17:00:00-00:00,2018-10-08T18:00:00-00:00,2018-10-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.59974,1
2018-10-09T03:00:00-00:00,2018-10-09T04:00:00-00:00,2018-10-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,52.47146,1
2018-10-08T10:00:00-00:00,2018-10-08T11:00:00-00:00,2018-10-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,29.94975,1
2018-10-08T09:00:00-00:00,2018-10-08T10:00:00-00:00,2018-10-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,29.95529,1
2018-10-08T19:00:00-00:00,2018-10-08T20:00:00-00:00,2018-10-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,20.90424,1
2018-10-09T05:00:00-00:00,2018-10-09T06:00:00-00:00,2018-10-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,37.68156,1
2018-10-09T02:00:00-00:00,2018-10-09T03:00:00-00:00,2018-10-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,60.49561,1
2018-10-08T08:00:00-00:00,2018-10-08T09:00:00-00:00,2018-10-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,30.17739,1
2018-10-08T23:00:00-00:00,2018-10-09T00:00:00-00:00,2018-10-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,27.31978,1
2018-10-08T16:00:00-00:00,2018-10-08T17:00:00-00:00,2018-10-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,23.09631,1
2018-10-08T14:00:00-00:00,2018-10-08T15:00:00-00:00,2018-10-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,42.69807,1
2018-10-08T13:00:00-00:00,2018-10-08T14:00:00-00:00,2018-10-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,39.88057,1
2018-10-08T11:00:00-00:00,2018-10-08T12:00:00-00:00,2018-10-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,31.48476,1
2018-10-09T04:00:00-00:00,2018-10-09T05:00:00-00:00,2018-10-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,46.3528,1
2018-10-09T01:00:00-00:00,2018-10-09T02:00:00-00:00,2018-10-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,67.67906,1
