INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-06-08T23:00:00-00:00,2018-06-09T00:00:00-00:00,2018-06-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,27.82994,1
2018-06-09T04:00:00-00:00,2018-06-09T05:00:00-00:00,2018-06-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,41.51526,1
2018-06-08T15:00:00-00:00,2018-06-08T16:00:00-00:00,2018-06-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.92563,1
2018-06-08T17:00:00-00:00,2018-06-08T18:00:00-00:00,2018-06-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.614,1
2018-06-08T09:00:00-00:00,2018-06-08T10:00:00-00:00,2018-06-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,17.93018,1
2018-06-09T06:00:00-00:00,2018-06-09T07:00:00-00:00,2018-06-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,27.33004,1
2018-06-09T02:00:00-00:00,2018-06-09T03:00:00-00:00,2018-06-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,51.99599,1
2018-06-09T03:00:00-00:00,2018-06-09T04:00:00-00:00,2018-06-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,48.3876,1
2018-06-09T05:00:00-00:00,2018-06-09T06:00:00-00:00,2018-06-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,31.42387,1
2018-06-08T16:00:00-00:00,2018-06-08T17:00:00-00:00,2018-06-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,21.25848,1
2018-06-08T22:00:00-00:00,2018-06-08T23:00:00-00:00,2018-06-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,30.989,1
2018-06-09T00:00:00-00:00,2018-06-09T01:00:00-00:00,2018-06-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,34.03091,1
2018-06-08T07:00:00-00:00,2018-06-08T08:00:00-00:00,2018-06-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,22.18248,1
2018-06-08T11:00:00-00:00,2018-06-08T12:00:00-00:00,2018-06-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,20.55187,1
2018-06-08T14:00:00-00:00,2018-06-08T15:00:00-00:00,2018-06-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,25.01831,1
2018-06-08T10:00:00-00:00,2018-06-08T11:00:00-00:00,2018-06-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,17.67678,1
2018-06-08T21:00:00-00:00,2018-06-08T22:00:00-00:00,2018-06-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,25.99674,1
2018-06-08T08:00:00-00:00,2018-06-08T09:00:00-00:00,2018-06-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,18.78099,1
2018-06-08T12:00:00-00:00,2018-06-08T13:00:00-00:00,2018-06-08,6,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,24.53574,1
2018-06-08T13:00:00-00:00,2018-06-08T14:00:00-00:00,2018-06-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,30.29071,1
2018-06-09T01:00:00-00:00,2018-06-09T02:00:00-00:00,2018-06-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,39.81556,1
2018-06-08T18:00:00-00:00,2018-06-08T19:00:00-00:00,2018-06-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,22.79766,1
2018-06-08T19:00:00-00:00,2018-06-08T20:00:00-00:00,2018-06-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,25.50921,1
2018-06-08T20:00:00-00:00,2018-06-08T21:00:00-00:00,2018-06-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,25.69921,1
2018-06-08T08:00:00-00:00,2018-06-08T09:00:00-00:00,2018-06-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T17:00:00-00:00,2018-06-08T18:00:00-00:00,2018-06-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-09T02:00:00-00:00,2018-06-09T03:00:00-00:00,2018-06-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.54116,2
2018-06-08T16:00:00-00:00,2018-06-08T17:00:00-00:00,2018-06-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0.64178,2
2018-06-08T23:00:00-00:00,2018-06-09T00:00:00-00:00,2018-06-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T10:00:00-00:00,2018-06-08T11:00:00-00:00,2018-06-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T15:00:00-00:00,2018-06-08T16:00:00-00:00,2018-06-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,2.13223,2
2018-06-08T21:00:00-00:00,2018-06-08T22:00:00-00:00,2018-06-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-09T01:00:00-00:00,2018-06-09T02:00:00-00:00,2018-06-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.01704,2
2018-06-08T07:00:00-00:00,2018-06-08T08:00:00-00:00,2018-06-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-09T03:00:00-00:00,2018-06-09T04:00:00-00:00,2018-06-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.11298,2
2018-06-09T04:00:00-00:00,2018-06-09T05:00:00-00:00,2018-06-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.3083,2
2018-06-08T19:00:00-00:00,2018-06-08T20:00:00-00:00,2018-06-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T20:00:00-00:00,2018-06-08T21:00:00-00:00,2018-06-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T22:00:00-00:00,2018-06-08T23:00:00-00:00,2018-06-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T11:00:00-00:00,2018-06-08T12:00:00-00:00,2018-06-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T14:00:00-00:00,2018-06-08T15:00:00-00:00,2018-06-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,3.62844,2
2018-06-09T05:00:00-00:00,2018-06-09T06:00:00-00:00,2018-06-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.71259,2
2018-06-09T00:00:00-00:00,2018-06-09T01:00:00-00:00,2018-06-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0.85025,2
2018-06-08T09:00:00-00:00,2018-06-08T10:00:00-00:00,2018-06-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T18:00:00-00:00,2018-06-08T19:00:00-00:00,2018-06-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-08T12:00:00-00:00,2018-06-08T13:00:00-00:00,2018-06-08,6,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2018-06-09T06:00:00-00:00,2018-06-09T07:00:00-00:00,2018-06-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-0.34535,2
2018-06-08T13:00:00-00:00,2018-06-08T14:00:00-00:00,2018-06-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,1.14815,2
2018-06-09T06:00:00-00:00,2018-06-09T07:00:00-00:00,2018-06-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,27.09023,3
2018-06-08T17:00:00-00:00,2018-06-08T18:00:00-00:00,2018-06-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,21.88981,3
2018-06-09T00:00:00-00:00,2018-06-09T01:00:00-00:00,2018-06-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,32.70319,3
2018-06-08T07:00:00-00:00,2018-06-08T08:00:00-00:00,2018-06-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,21.93028,3
2018-06-09T02:00:00-00:00,2018-06-09T03:00:00-00:00,2018-06-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,50.91302,3
2018-06-08T13:00:00-00:00,2018-06-08T14:00:00-00:00,2018-06-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,28.71753,3
2018-06-08T15:00:00-00:00,2018-06-08T16:00:00-00:00,2018-06-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,19.99131,3
2018-06-08T21:00:00-00:00,2018-06-08T22:00:00-00:00,2018-06-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCE,LMP_ENE_PRC,URBAN_6_N005,ALL,1,25.97077,3
