INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-07-09T02:00:00-00:00,2018-07-09T03:00:00-00:00,2018-07-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,108.00596,1
2018-07-08T13:00:00-00:00,2018-07-08T14:00:00-00:00,2018-07-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,31.62996,1
2018-07-09T05:00:00-00:00,2018-07-09T06:00:00-00:00,2018-07-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,48.90392,1
2018-07-09T06:00:00-00:00,2018-07-09T07:00:00-00:00,2018-07-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,201.84696,1
2018-07-08T07:00:00-00:00,2018-07-08T08:00:00-00:00,2018-07-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,41.17582,1
2018-07-09T03:00:00-00:00,2018-07-09T04:00:00-00:00,2018-07-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,78.53502,1
2018-07-08T20:00:00-00:00,2018-07-08T21:00:00-00:00,2018-07-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,70.58217,1
2018-07-08T21:00:00-00:00,2018-07-08T22:00:00-00:00,2018-07-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,80.21671,1
2018-07-08T23:00:00-00:00,2018-07-09T00:00:00-00:00,2018-07-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,73.01509,1
2018-07-08T10:00:00-00:00,2018-07-08T11:00:00-00:00,2018-07-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,34.05163,1
2018-07-08T19:00:00-00:00,2018-07-08T20:00:00-00:00,2018-07-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,64.18926,1
2018-07-08T22:00:00-00:00,2018-07-08T23:00:00-00:00,2018-07-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,64.76377,1
2018-07-08T11:00:00-00:00,2018-07-08T12:00:00-00:00,2018-07-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,33.87445,1
2018-07-09T04:00:00-00:00,2018-07-09T05:00:00-00:00,2018-07-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,58.05836,1
2018-07-08T18:00:00-00:00,2018-07-08T19:00:00-00:00,2018-07-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,47.88398,1
2018-07-08T17:00:00-00:00,2018-07-08T18:00:00-00:00,2018-07-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,49.4772,1
2018-07-08T14:00:00-00:00,2018-07-08T15:00:00-00:00,2018-07-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,28.46159,1
2018-07-09T00:00:00-00:00,2018-07-09T01:00:00-00:00,2018-07-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,75.79691,1
2018-07-09T01:00:00-00:00,2018-07-09T02:00:00-00:00,2018-07-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,79.83327,1
2018-07-08T16:00:00-00:00,2018-07-08T17:00:00-00:00,2018-07-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,57.03388,1
2018-07-08T08:00:00-00:00,2018-07-08T09:00:00-00:00,2018-07-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,37.68048,1
