INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-03-08T18:00:00-00:00,2019-03-08T19:00:00-00:00,2019-03-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,0.36237,1
2019-03-08T20:00:00-00:00,2019-03-08T21:00:00-00:00,2019-03-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,3.96735,1
2019-03-09T05:00:00-00:00,2019-03-09T06:00:00-00:00,2019-03-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,47.74893,1
2019-03-09T01:00:00-00:00,2019-03-09T02:00:00-00:00,2019-03-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,57.15739,1
2019-03-08T09:00:00-00:00,2019-03-08T10:00:00-00:00,2019-03-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,34.41539,1
2019-03-08T08:00:00-00:00,2019-03-08T09:00:00-00:00,2019-03-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,38.14035,1
2019-03-08T19:00:00-00:00,2019-03-08T20:00:00-00:00,2019-03-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,2.26792,1
2019-03-08T15:00:00-00:00,2019-03-08T16:00:00-00:00,2019-03-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,40.91792,1
2019-03-08T16:00:00-00:00,2019-03-08T17:00:00-00:00,2019-03-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,26.69001,1
2019-03-09T02:00:00-00:00,2019-03-09T03:00:00-00:00,2019-03-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,82.57661,1
2019-03-08T12:00:00-00:00,2019-03-08T13:00:00-00:00,2019-03-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,37.41418,1
2019-03-08T10:00:00-00:00,2019-03-08T11:00:00-00:00,2019-03-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,32.33845,1
2019-03-09T07:00:00-00:00,2019-03-09T08:00:00-00:00,2019-03-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,38.29996,1
2019-03-09T03:00:00-00:00,2019-03-09T04:00:00-00:00,2019-03-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,61.83415,1
2019-03-09T00:00:00-00:00,2019-03-09T01:00:00-00:00,2019-03-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,39.42495,1
2019-03-08T14:00:00-00:00,2019-03-08T15:00:00-00:00,2019-03-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,62.06818,1
2019-03-08T11:00:00-00:00,2019-03-08T12:00:00-00:00,2019-03-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,32.40582,1
2019-03-08T17:00:00-00:00,2019-03-08T18:00:00-00:00,2019-03-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,6.30066,1
